"region";"n_dose";"year";"cov1y";"cov2y";"cov3y";"cov4y";"cov5y";"vaccine";"sep";"dec"
"west midlands";2;2019;0;0.859727545875131;0.859727545875131;0.913144947392928;0.915185370324086;"MMR";";";"."
"east of england";1;2005;0.691125;0.907;0.9126534645338;0.925631234685189;0.940180534119078;"MMR";";";"."
"east of england";1;2006;0.696;0.9215;0.919306544892252;0.917615603010433;0.926291805294943;"MMR";";";"."
"east of england";1;2007;0.667134831460674;0.928;0.931405826134005;0.923621161979709;0.918803348922393;"MMR";";";"."
"east of england";1;2008;0.692916666666667;0.889513108614232;0.93974768925416;0.934878762451823;0.924653916069792;"MMR";";";"."
"east of england";1;2009;0.697948328267477;0.923888888888889;0.936;0.9438663741684;0.935710050400237;"MMR";";";"."
"east of england";1;2010;0.708630625686059;0.930597771023303;0.952676722863058;0.952282157676348;0.9448522296;"MMR";";";"."
"east of england";1;2011;0.723194059904354;0.944840834248079;0.956815114709852;0.963761324586067;0.956236323851203;"MMR";";";"."
"east of england";1;2012;0.726040118870728;0.964258746539139;0.970684039087948;0.973579545454546;0.970896010464356;"MMR";";";"."
"east of england";1;2013;0.72601318359375;0.968053491827637;0.975345434841506;0.980286168521463;0.979209979209979;"MMR";";";"."
"east of england";1;2014;0.722717417489761;0.968017578125;0.977459559798462;0.983800983511715;0.982321547698466;"MMR";";";"."
"east of england";1;2015;0.714428269546842;0.963623223319682;0.97744161358811;0.979880986115047;0.985537812594155;"MMR";";";"."
"east of england";1;2016;0.7268174245125;0.952571026062456;0.97112657901521;0.981534090909091;0.982153480071386;"MMR";";";"."
"east of england";1;2017;0.7213538188125;0.96908989935;0.966819806023481;0.976464148877942;0.981640509327806;"MMR";";";"."
"east of england";1;2018;0.7173723719625;0.96180509175;0.975439952246775;0.969465648854962;0.978877314814815;"MMR";";";"."
"east of england";1;2019;0.7188801464625;0.95649649595;0.971851694212555;0.976647028113975;0.974805038992202;"MMR";";";"."
"east of england";2;2005;0;0.764459542077679;0.764459542077679;0.855596490945185;0.870367619886877;"MMR";";";"."
"east of england";2;2006;0;0.768718308603874;0.768718308603874;0.846262060020754;0.86829211609057;"MMR";";";"."
"east of england";2;2007;0;0.783795436660596;0.783795436660596;0.850970660019515;0.858820777915242;"MMR";";";"."
"east of england";2;2008;0;0.807295921907893;0.807295921907893;0.867640314181709;0.863598438522691;"MMR";";";"."
"east of england";2;2009;0;0.78;0.78;0.89362304512638;0.880512584989049;"MMR";";";"."
"east of england";2;2010;0;0.826143152913339;0.826143152913339;0.86344398340249;0.906876402289519;"MMR";";";"."
"east of england";2;2011;0;0.844520917678812;0.844520917678812;0.896591690096845;0.876214442013129;"MMR";";";"."
"east of england";2;2012;0;0.865925377554042;0.865925377554042;0.915852272727273;0.905958142576848;"MMR";";";"."
"east of england";2;2013;0;0.862934164183148;0.862934164183148;0.925135135135135;0.921689931689932;"MMR";";";"."
"east of england";2;2014;0;0.870668257756563;0.870668257756563;0.926071738501591;0.930293529019346;"MMR";";";"."
"east of england";2;2015;0;0.883842887473461;0.883842887473461;0.929926324737886;0.93215125037662;"MMR";";";"."
"east of england";2;2016;0;0.879404485692189;0.879404485692189;0.936875;0.934080904223676;"MMR";";";"."
"east of england";2;2017;0;0.864425727411945;0.864425727411945;0.923497536945813;0.938474977790939;"MMR";";";"."
"east of england";2;2018;0;0.879340073694409;0.879340073694409;0.912300981461287;0.9275;"MMR";";";"."
"east of england";2;2019;0;0.884285993042597;0.884285993042597;0.928031895800784;0.920713857228554;"MMR";";";"."
"london";1;2005;0.650625;0.857;0.868317226544881;0.885625489659119;0.89738532259642;"MMR";";";"."
"london";1;2006;0.655875;0.8675;0.870063814216409;0.876311849909788;0.887451974168233;"MMR";";";"."
"london";1;2007;0.590425531914894;0.8745;0.891407339775656;0.875765565740496;0.8783899977447;"MMR";";";"."
"london";1;2008;0.653574848388126;0.787234042553192;0.90968340132904;0.901841789373958;0.877247697173603;"MMR";";";"."
"london";1;2009;0.6544474393531;0.871433131184169;0.845381526104418;0.92503933098536;0.904554153403062;"MMR";";";"."
"london";1;2010;0.671074031684838;0.872596585804133;0.929994184355917;0.870824053452116;0.9290310002;"MMR";";";"."
"london";1;2011;0.684932837477798;0.894765375579784;0.935700575815739;0.949878738884398;0.877403846153846;"MMR";";";"."
"london";1;2012;0.68848287376131;0.91324378330373;0.945;0.956345565749235;0.961470170454545;"MMR";";";"."
"london";1;2013;0.688747384002858;0.91797716501508;0.952953143874372;0.962132268223366;0.966906836461126;"MMR";";";"."
"london";1;2014;0.684294627910516;0.918329845337145;0.949552883132902;0.963995437045487;0.969916575377096;"MMR";";";"."
"london";1;2015;0.674729455947028;0.912392837214021;0.945892483127764;0.959449173067608;0.968499025341131;"MMR";";";"."
"london";1;2016;0.693950024625;0.899639274596037;0.940761555224223;0.955985005170631;0.964264173703257;"MMR";";";"."
"london";1;2017;0.69428413185;0.9252666995;0.933191940615058;0.949305820914533;0.96044481981982;"MMR";";";"."
"london";1;2018;0.686226801675;0.9257121758;0.9417229484435;0.941454026199789;0.953205039457289;"MMR";";";"."
"london";1;2019;0.688433561625;0.9149690689;0.9384119509625;0.94578692644346;0.948315832537843;"MMR";";";"."
"london";2;2005;0;0.605741031261208;0.605741031261208;0.731958769802041;0.776136991499949;"MMR";";";"."
"london";2;2006;0;0.596743864172111;0.596743864172111;0.732038093052793;0.748156267961914;"MMR";";";"."
"london";2;2007;0;0.651871943874155;0.651871943874155;0.721195481677689;0.74823732289677;"MMR";";";"."
"london";2;2008;0;0.689216350404411;0.689216350404411;0.787631098371899;0.737158009450144;"MMR";";";"."
"london";2;2009;0;0.616506024096386;0.616506024096386;0.83263536282889;0.805043963849023;"MMR";";";"."
"london";2;2010;0;0.690421634195987;0.690421634195987;0.745011135857461;0.851030704045095;"MMR";";";"."
"london";2;2011;0;0.705451055662188;0.705451055662188;0.79;0.756826923076923;"MMR";";";"."
"london";2;2012;0;0.724178082191781;0.724178082191781;0.803837920489297;0.80640625;"MMR";";";"."
"london";2;2013;0;0.689535889122004;0.689535889122004;0.805577233274445;0.818334450402145;"MMR";";";"."
"london";2;2014;0;0.658948504471169;0.658948504471169;0.762422643661771;0.819527260470212;"MMR";";";"."
"london";2;2015;0;0.642431929252967;0.642431929252967;0.740051899522524;0.771910331384016;"MMR";";";"."
"london";2;2016;0;0.634339947241656;0.634339947241656;0.716990692864529;0.753193606755127;"MMR";";";"."
"london";2;2017;0;0.635811240721103;0.635811240721103;0.709908291937333;0.726134572072072;"MMR";";";"."
"london";2;2018;0;0.7579609263685;0.7579609263685;0.710680449494009;0.717952374359684;"MMR";";";"."
"london";2;2019;0;0.75005981316792;0.75005981316792;0.846991007141819;0.718214918859948;"MMR";";";"."
"south east";1;2005;0.691656698380165;0.906729835570248;0.910090826916431;0.927138142067951;0.939721218378937;"MMR";";";"."
"south east";1;2006;0.698807363553719;0.922208931173554;0.918429784379816;0.919073106908676;0.929369688838851;"MMR";";";"."
"south east";1;2007;0.634308510638298;0.931743151404958;0.932715487028588;0.926982694935404;0.92147848288973;"MMR";";";"."
"south east";1;2008;0.691307013957835;0.845744680851064;0.943086843084335;0.94039600204092;0.929273089538587;"MMR";";";"."
"south east";1;2009;0.691391226798952;0.921742685277113;0.888052681091251;0.951379322127024;0.942452776751655;"MMR";";";"."
"south east";1;2010;0.704253685503686;0.92185496906527;0.951515910799298;0.919110212335693;0.95359997545;"MMR";";";"."
"south east";1;2011;0.713097949886105;0.939004914004914;0.954826324314596;0.967537661645114;0.927427961579509;"MMR";";";"."
"south east";1;2012;0.716911160983086;0.950797266514806;0.962887411989208;0.96824083503055;0.973819802255953;"MMR";";";"."
"south east";1;2013;0.720603135665529;0.955881547977448;0.967208071859235;0.974241677809839;0.974933333333333;"MMR";";";"."
"south east";1;2014;0.717632192846034;0.960804180887372;0.967497034400949;0.974960567823344;0.978183437221728;"MMR";";";"."
"south east";1;2015;0.716954960835509;0.956842923794712;0.970842956120092;0.974765407050469;0.977932556375422;"MMR";";";"."
"south east";1;2016;0.7155292183875;0.955939947780679;0.969640607187856;0.978418604651163;0.976879385232209;"MMR";";";"."
"south east";1;2017;0.718267936275;0.95403895785;0.967985378220624;0.97686045766297;0.981380711991084;"MMR";";";"."
